timestamp,open,high,low,close,volume
2023-09-18,145.7700,146.4800,145.0600,145.0900,2508062
2023-09-15,147.1100,147.8500,145.5300,145.9900,6234033
2023-09-14,147.3800,147.7300,146.4800,147.3500,2723200
2023-09-13,145.9500,146.9800,145.9200,146.5500,2627999
2023-09-12,147.9200,148.0000,145.8000,146.3000,4457695
2023-09-11,148.5700,148.7800,147.5800,148.3800,3273720
2023-09-08,147.3500,148.5900,147.2600,147.6800,3722927
2023-09-07,148.1300,148.7800,147.4000,147.5200,3333040
2023-09-06,147.6600,148.3300,147.1200,148.0600,2932203
2023-09-05,147.9100,149.0000,147.5719,148.1300,3731281
2023-09-01,147.2600,148.1000,146.9200,147.9400,2727796
2023-08-31,146.9400,147.7275,146.5400,146.8300,3885949
2023-08-30,146.4200,146.9200,145.7452,146.8600,2245402
2023-08-29,146.3000,146.7300,145.6200,146.4500,2778113
2023-08-28,145.4100,146.7400,145.2100,146.0200,3561347
2023-08-25,144.1800,145.4700,143.5000,145.3500,3660147
2023-08-24,143.5050,144.4700,143.2200,143.5500,2900244
2023-08-23,141.7200,143.4750,141.5800,143.4100,2559083
2023-08-22,142.6600,143.2250,141.3000,141.4900,3557734
2023-08-21,141.4200,142.3900,141.1100,142.2800,2937781
2023-08-18,140.0000,141.8300,139.7600,141.4100,3915480
2023-08-17,141.0100,142.6600,140.6000,140.6600,3742058
2023-08-16,141.7000,142.0900,140.5600,140.6400,3285347
2023-08-15,141.5000,142.3100,141.2000,141.8700,3656559
2023-08-14,143.0500,143.3650,141.8020,141.9100,4226563
2023-08-11,143.1200,143.4500,142.2050,143.1200,2526433
2023-08-10,143.0400,144.5800,142.6900,143.2500,4735763
2023-08-09,144.9400,144.9400,142.3000,142.4900,4073038
2023-08-08,145.7000,146.1500,144.1100,145.9100,4654582
2023-08-07,145.0000,146.5000,144.9300,146.1800,3438654
2023-08-04,145.0900,146.0900,143.9900,144.2400,4223204
2023-08-03,143.7800,145.2200,143.3116,144.4500,3952640
2023-08-02,142.7800,144.3000,142.3100,144.1700,4959381
2023-08-01,144.2500,144.4800,142.1700,143.3300,4798703
2023-07-31,143.8100,144.6050,143.5300,144.1800,6138902
