timestamp,open,high,low,close,volume
2023-10-06 19:59:00,142.0700,142.0700,142.0400,142.0400,96
2023-10-06 19:50:00,142.2500,142.2900,142.1700,142.1700,7
2023-10-06 19:48:00,142.1800,142.1800,142.1000,142.1000,30
2023-10-06 19:45:00,142.4500,142.4500,142.4500,142.4500,2
2023-10-06 19:36:00,142.0300,142.0300,142.0300,142.0300,50
2023-10-06 19:00:00,142.0300,142.0300,142.0300,142.0300,438501
2023-10-06 18:56:00,142.2000,142.2000,142.2000,142.2000,2
2023-10-06 18:48:00,142.0800,142.0800,142.0800,142.0800,1
2023-10-06 18:42:00,142.0900,142.1800,142.0900,142.1800,100
2023-10-06 18:31:00,142.0700,142.0700,142.0700,142.0700,1
2023-10-06 18:30:00,142.0300,142.0300,142.0300,142.0300,438501
2023-10-06 18:17:00,142.0900,142.0900,142.0900,142.0900,5
2023-10-06 17:51:00,142.2000,142.2000,142.2000,142.2000,4
2023-10-06 17:40:00,142.0100,142.0100,142.0100,142.0100,2
2023-10-06 17:38:00,142.0100,142.0100,142.0100,142.0100,1
2023-10-06 17:36:00,142.0500,142.0500,142.0500,142.0500,25
2023-10-06 17:29:00,142.2000,142.2000,142.2000,142.2000,35
2023-10-06 17:26:00,142.0100,142.0100,142.0100,142.0100,11
2023-10-06 17:21:00,142.0300,142.1000,142.0300,142.0300,1424
2023-10-06 17:15:00,142.1700,142.1700,142.1000,142.1000,2
2023-10-06 17:13:00,142.1000,142.1000,142.1000,142.1000,14
2023-10-06 17:00:00,142.0300,142.0300,142.0300,142.0300,1
2023-10-06 16:49:00,142.4000,142.4000,142.4000,142.4000,11
2023-10-06 16:46:00,142.1000,142.1000,142.1000,142.1000,1
2023-10-06 16:45:00,142.1200,142.1500,142.1000,142.1500,607
2023-10-06 16:41:00,142.2300,142.2300,142.2300,142.2300,1
2023-10-06 16:40:00,142.1500,142.1500,142.1500,142.1500,8
2023-10-06 16:30:00,142.4500,142.4500,142.4500,142.4500,1
2023-10-06 16:27:00,142.1200,142.1200,142.1200,142.1200,36
2023-10-06 16:25:00,142.1000,142.1000,142.1000,142.1000,1
2023-10-06 16:24:00,142.1100,142.1100,142.1100,142.1100,500
2023-10-06 16:23:00,142.0300,142.0300,142.0300,142.0300,2097
2023-10-06 16:20:00,142.0300,142.4500,142.0300,142.2400,5491
2023-10-06 16:15:00,142.0300,142.0300,142.0300,142.0300,1
2023-10-06 16:11:00,142.1000,142.1000,142.1000,142.1000,1
2023-10-06 16:10:00,142.0300,142.3000,142.0300,142.3000,438516
2023-10-06 16:09:00,142.2100,142.2100,142.2100,142.2100,8
2023-10-06 16:08:00,142.0300,142.0300,142.0300,142.0300,556
2023-10-06 16:07:00,142.0300,142.0300,142.0300,142.0300,51
2023-10-06 16:06:00,142.0300,142.0300,142.0300,142.0300,3599
2023-10-06 16:04:00,142.0300,142.0300,142.0300,142.0300,23006
2023-10-06 16:03:00,142.0300,142.0300,142.0300,142.0300,50810
2023-10-06 16:02:00,142.0300,142.0300,141.9200,142.0300,3885
2023-10-06 16:01:00,142.0300,142.0300,141.6900,141.6900,167
2023-10-06 16:00:00,142.0200,142.0300,142.0200,142.0300,912236
2023-10-06 15:59:00,142.0200,142.0950,141.9700,142.0200,132082
2023-10-06 15:58:00,142.0400,142.0400,141.9950,142.0250,57917
2023-10-06 15:57:00,142.0300,142.0800,142.0100,142.0450,30940
2023-10-06 15:56:00,142.0600,142.0900,142.0200,142.0400,41691
2023-10-06 15:55:00,142.0000,142.0700,141.9900,142.0700,56727
2023-10-06 15:54:00,142.0150,142.0500,141.9500,142.0050,40979
2023-10-06 15:53:00,142.0000,142.0100,141.9400,141.9800,39740
2023-10-06 15:52:00,142.0900,142.1200,142.0000,142.0000,26486
2023-10-06 15:51:00,142.1300,142.1400,142.0800,142.1000,19616
2023-10-06 15:50:00,142.0900,142.1600,142.0700,142.1300,25311
2023-10-06 15:49:00,142.2100,142.2120,142.1100,142.1100,21601
2023-10-06 15:48:00,142.2800,142.3200,142.2000,142.2200,23165
2023-10-06 15:47:00,142.2700,142.3500,142.2350,142.2800,18907
2023-10-06 15:46:00,142.2400,142.2750,142.2300,142.2700,23142
2023-10-06 15:45:00,142.2300,142.2600,142.2000,142.2400,15404
2023-10-06 15:44:00,142.2900,142.2900,142.2500,142.2500,14049
2023-10-06 15:43:00,142.2900,142.3300,142.2700,142.2700,21041
2023-10-06 15:42:00,142.4000,142.4200,142.2700,142.2740,15600
2023-10-06 15:41:00,142.3600,142.4230,142.3550,142.4100,7619
2023-10-06 15:40:00,142.3400,142.4000,142.3400,142.3500,21085
2023-10-06 15:39:00,142.4000,142.4000,142.3400,142.3400,14213
2023-10-06 15:38:00,142.3600,142.4350,142.3500,142.4000,7997
2023-10-06 15:37:00,142.3300,142.3700,142.3000,142.3600,23112
2023-10-06 15:36:00,142.4400,142.4550,142.3300,142.3300,19246
2023-10-06 15:35:00,142.3900,142.4700,142.3700,142.4200,12138
2023-10-06 15:34:00,142.4100,142.4300,142.3750,142.4000,12697
2023-10-06 15:33:00,142.4500,142.4500,142.3700,142.4000,18786
2023-10-06 15:32:00,142.5300,142.5500,142.4700,142.4750,16385
2023-10-06 15:31:00,142.6100,142.6200,142.5200,142.5200,8564
2023-10-06 15:30:00,142.6000,142.6200,142.5550,142.6200,15703
2023-10-06 15:29:00,142.5600,142.6000,142.5400,142.6000,3785
2023-10-06 15:28:00,142.5010,142.5700,142.5010,142.5450,7948
2023-10-06 15:27:00,142.5100,142.5200,142.4800,142.5000,9659
2023-10-06 15:26:00,142.5700,142.6100,142.5300,142.5300,9843
2023-10-06 15:25:00,142.5690,142.5850,142.5400,142.5600,6904
2023-10-06 15:24:00,142.4700,142.5700,142.4700,142.5600,8111
2023-10-06 15:23:00,142.4900,142.4900,142.4400,142.4700,7068
2023-10-06 15:22:00,142.5400,142.5400,142.4700,142.4800,11708
2023-10-06 15:21:00,142.5250,142.5250,142.4700,142.5200,9694
2023-10-06 15:20:00,142.4900,142.5300,142.4700,142.5300,10145
2023-10-06 15:19:00,142.5100,142.5100,142.4800,142.4900,6765
2023-10-06 15:18:00,142.5500,142.5600,142.5200,142.5200,5530
2023-10-06 15:17:00,142.5800,142.5900,142.5050,142.5400,5849
2023-10-06 15:16:00,142.5600,142.6000,142.5400,142.5800,6051
2023-10-06 15:15:00,142.5900,142.6200,142.5500,142.5800,7476
2023-10-06 15:14:00,142.5150,142.6130,142.5100,142.5800,11920
